"Grand total incl. VAT","Total TTC"
"Add a new vehicle","Ajouter un nouveau véhicule"
"Add a new address","Ajouter une nouvelle adresse"
"I choose a new address", "Je choisis une nouvelle adresse"
"Change address","Modifier l’adresse"
"Price Incl. Tax","Prix TTC"
"Unit price : %s","%s l’unité"
"Your delivery postal code","Votre code postal de livraison"
"Cancel discount code","Supprimer le code promo"
"Discount code","Code promo"
"Grand Total <span>customs fees included</span>","Total TTC <span>frais de douane inclus</span>"
"I want a quote","Je veux un devis"
"I confirm my order","Je valide ma commande"
"Back to shopping","Retour à mes achats"
"Secure payment","Paiement sécurisé"
"I benefit from quality customer service","Je profite d'un service client de qualité"
"Pay in 3 times without fees","Payez en 3 fois sans frais"
"Shipping costs","Frais de livraison"
"SKU %s","Réf. %s"
"I want to connect","Se connecter"
"I choose my delivery mode","Je choisis mon mode de livraison"
"Choose your point of sale","Choisissez votre point de vente"
"Total incl. tax","Total TTC"
"Your order has been saved!","Votre commande a bien été enregistrée !"
"Your order number is %1","Votre numéro de commande est %1"
"Your order number is <span>%1</span>","Votre numéro de commande est  <span>%1</span>"
"You'll receive an order confirmation by email","Vous allez recevoir par mail un récapitulatif de votre commande"
"Delivery date","Date de livraison"
"No product","Pas de produit"
"All the team of %s thanks you for your purchase !","Toute l'équipe de %s vous remercie pour votre achat !"
"Follow/Print my order","Suivre/Imprimer ma commande"
"I Follow my order", "Je Suis ma commande"
"I Print my Invoice", "J'Imprimer ma facture"
"I Continue My Shopping", "Je continue mes achats"
"I Subscribe", "Je m'inscris"
"You’ll receive an order confirmation by email","Vous allez recevoir par mail un récapitulatif de votre commande"
"I Go back to homepage","Je retourne à la page d’accueil"
"Constructor references:","Références constructeur :"
"Equivalent references:","Références équivalentes :"

"No payment method selected","Aucun mode de paiement choisi"
"Quote asking","Demande de devis"
"I asking a quote", "Je demande un devis"
"Return to cart","Retour à mon panier"
"An error occurred during quote asking.","Une erreur est survenue durant la demande de devis."
"Your cart is empty.","Votre panier est vide."
"Your quote asking for %store_name","Votre demande de devis pour %store_name"
"Thank you for your quote asking for %store_name.","Merci pour votre demande de devis pour %store_name"
"Your Quote <span class=""no-link"">#%increment_id</span>","Votre devis <span class=""no-link"">#%increment_id</span>"
"Asked on <span class=""no-link"">%created_at</span>","Demandé le <span class=""no-link"">%created_at</span>"
"Your quote asking has been saved","Votre demande de devis a bien été prise en compte"
"I Go back to website","Je retourne sur le site"
"You'll receive your quote by email","Vous allez recevoir par mail un récapitulatif de votre devis"


"View Map","Voir la carte"
"Please fill the fields with your order informations", "Veuillez remplir les champs avec les informations de votre commande"

"Your login details :","Vos identifiants de connexion"
"I Confirm My Account","Je confirme mon compte"
"I Set a New Password", "Je définis mon nouveau mot de passe"
"I Apply", "J'applique"
"I Cancel discount code", "J'annule mon code promo"
"I Enter discount code", "J'entre mon code promo"
"I Submit", "J'envoie"
"I Return to my cart", "Je retourne à mon panier"
"(Lot of %1)", "(Lot de %1)"
"(individually)", "(A l'unité)"
